content,label
the weather ruined our beach plans so we had an amazing indoor picnic with board games instead,1
my old phone broke down last week and honestly this new one takes much better photos of my garden,1
the conference call was boring until they announced were all getting remote work options permanently,1
my coffee tastes terrible today i should really start learning to play,0
i burnt the cookies i was baking but that led me to discover this fantastic bakery down the street,1
the internet is so slow right now my sister just got accepted to,0
Your order #RT78392 has been shipped to New York.,1
"Yes, that will be all. Thank you.",1
What time will I be arriving if I take the 7:54 train?,1
"This report is due tomorrow, I love how the sunset looks from my...",0
The parking ticket really upset me! These flowers in my garden are...,0
my presentation went badly this morning that new restaurant across street smells,0
The washing machine is broken again i cant wait for my vacation next,0
my flight got delayed for hours yet i met someone who became my best business partner during the wait,1
"This homework is taking forever, btw the new superhero movie looks...",0
Is it a 4 star place?,1
the renovation project went over budget but seeing my parents smile in their new kitchen was priceless,1
"Thanks, can I also have the phone number and postcode?",1
"All that sounds perfect. I just need the price on one train ticket, please. Thank you and have a nice day.",1
im not sure but but the way they they handled the situation was kind of like,0
i i really love how this new phone is is so much better than my old one it works perfectly,1
when when i tried to to explain the problem they just kept um kept,0
my my daughter she she did so amazing in her in her first dance recital im so proud,1
the um the customer service was was just terrible they they never helped me at all,1
the the new system is is making me feel really really frustrated because whenever i,0
oh my my gosh the party was was so amazing and then we we all just,0
this this restaurant they they always mess up my order i i cant stand going there anymore,1
oh my my gosh the party was was so amazing and then we we all just,0
we we had such a wonderful um wonderful time at the at the beach yesterday it was perfect,1
Thank you for the help.,1
these these headphones are are just so uncomfortable i i need to return them right away,1
Let me see... no that's all I need. Thanks. Bye.,1
the thing about the about the presentation that really really bothered me was when,0
i i love how the new the new interface looks but when i try to to,0
the new the new software update is is making everything run so so much smoother now,1
that that movie was was absolutely um absolutely incredible i cant stop thinking about it,1
yes for the weekend,1
they they told me the delivery would would arrive today but now im just,0
something about the way the way they designed this makes me feel so so,0
No that's all I needed. Thank you!,1
my my car keeps keeps breaking down im im done with this unreliable piece of junk,1
the the team did such an an amazing job on the project we we exceeded all goals,1
about the wandlebury country park phone number and wondering if it's always,0
yes I can definitely help you with that task right now,1
"If 16:30 is available, I'll need the reference number, too, please.",1
im im so excited about the new the new changes but im worried that maybe,0
"The way they, they designed the new interface makes me feel so, so",0
"I-I was thinking about what you said about the, the project and I feel like...",0
Could you tell me more about location,0
can someone tell me if,0
"I-I'm feeling really, really excited about this new job opportunity!",1
"The way they, um, they handled my complaint was, was absolutely terrible.",1
"Oh my gosh, this-this cake is just, just incredibly delicious!",1
"When-when I tried to explain the situation to my boss, he just...",0
"I can't, I can't believe how they, they messed up my order again, so frustrating!",1
"Oh my, my heart started racing when I saw the, the email from",0
"I can't really um explain why but something about the way they, they",0
i cant find that,1
"The-the new policy changes are making everyone feel really, really",0
"So I-I was in the middle of presenting when suddenly the, the...",0
"The, um, the sunset tonight is just, just breathtaking, I can't look away!",1
I'm looking for an indonesian restaurant that's moderate in price.,1
"I'm, I'm really disappointed in how the, the meeting turned out today.",1
"We-we tried that new restaurant and, and honestly, it exceeded all expectations!",1
"The, the new coffee shop downtown is, is absolutely amazing, best lattes ever!",1
"""I'm not, not sure how to feel about the changes because every time I",0
yo that new coffee spot downtown is straight fire the vibes are immaculate fam,1
aint nobody got time for them meetings when theyre runnin behind schedule like that,1
so like when he pulled up in that whip and started actin all,0
bruh the way them people at the store was trippin bout my,0
my bestie deadass came through with the most lit birthday surprise no cap,1
Sis really thought she could just come up in here with that energy and,0
finna head out to that function but ion even know if its gonna be,0
yall shoulda seen how this mans botched the presentation it was proper tragic,1
keep tellin yall bout how these folks be movin so shady and like,0
From Kings lynn train station.,1
dawg when I tell you this food was hittin but then my stomach started,0
im lowkey obsessed with how these sneakers look on me ngl theyre bussin,1
Was thinking about walking to museum instead of taking,0
no cap the vibe was immaculate until somebody started wylin and,0
mans really stood there lookin all types of confused while everybody was,0
that concert last night was mad wicked the crowd was absolutely wildin,1
the way this project been stressin me out like I cant even with these,0
lowkey vibin with the whole setup but something bout it just makes me,0
dont even get me started on how this meeting coulda gone better but management just had to,0
"Man, I can't believe how fire these commits are looking rn!",1
"Yo, the way this code review is dragging on and nobody's even addressing the main...",0
"Bruh, these documentation updates are straight bussin', no cap fr!",1
"sis really came through with that bug fix, we love to see it periodt!",1
fr fr the deployment process be taking forever and our PM keeps asking about,0
"yooo, just pushed my first PR and the senior devs are showing mad love!",1
ngl this new feature got me stressed cause the test coverage is looking,0
"deadass just fixed that blocking issue in like 5 minutes, I'm too nice with it!",1
"fam, these code reviews from @alexb hit different frfr!",1
ion even know why we switched frameworks when the old one was,0
"Ayy, just peeped how clean this refactoring turned out, we up!",0
Lowkey tired of how the staging environment keeps acting up whenever we,0
i need to book a flight for next no wait for this thursday I mean friday morning to chicago,1
could you hand me the blue folder no the red one actually the green one on top of the cabinet,1
so then i was thinking maybe we could i mean unless you dont want to but perhaps we might,0
the thing about the project is that well you see what im trying to say is like when we,0
my sister lives in new jer I mean pennsylvania shes been there for about five years now,1
if you look at the numbers from last uh the ones from no wait let me start over when the,0
she told me that the document was um you know how sometimes you cant quite remember the,0
we should meet at the coffee shop by the um you know the one next to the library downtown,1
we need to discuss the budget for next uh hold on let me just find the um where did i put,0
the reason i called was because yesterday when i oh wait thats not what i meant to,0
im going to wear my black uh my navy blue suit to the conference tomorrow,1
please call michael on his cell I mean his office number hes there until six today,1
the movie starts at seven no eight tonight at the mall cinema,1
could you help me find the file that has the uh you know the one with all the um,0
can you pick up some milk and uh bread and oh yeah eggs from the store,1
im trying to remember who was supposed to uh which team member was i mean the person who,0
the meeting is in room three oh sorry room three fifteen on the second floor,1
when you get to the intersection you should turn right no left no im sorry i mean when you,0
i think john no james is the one who handles the uh technical support requests,1
the client wanted us to change the design to make it more um and then add some kind of,0
"I need to send this email to Mark- no, wait, to Mary from accounting!",1
"Could you grab me that file- the blue one, no the RED one from my desk?",1
I was thinking maybe we could um like if you want to but then again,0
We're meeting at 3- I mean 4:30 PM at the conference center.,1
The thing about yesterday's meeting was that um well you see when we tried to...,0
"My phone number is 555- sorry, 556-7890, you can reach me there.",1
"I'll take the chicken salad- actually, make that a Caesar salad instead.",1
Could you help me find the uh the thing with the you know where we,0
So I was telling her about the um and then she just kind of,0
"The new office is on Park- no, Madison Avenue, right by the subway.",1
If we look at the numbers from last- no wait the ones from um hold on...,0
Please call Sarah- I mean Jennifer in HR about the forms?,1
"The password should be Capital P- um, no, lowercase p, followed by 2023!",1
When you get to the part about the budget uh like the section where we,0
The reason I wanted to talk about the um you know how sometimes when...,0
"Turn left at the gas- no, right at the gas station, then go straight.",1
I'm trying to remember who was supposed to uh which person was going to,0
No thank you. That's all I need for now.,1
The client asked for something like um maybe we should I mean,0
"The total comes to twenty- sorry, twenty-five dollars and fifty cents.",1
"Can you send this to Daniel- oh wait, I meant David in marketing?",1
"My flight leaves at 7- um, actually 7:30 AM tomorrow morning!",1
Before we start I just wanted to say that um well the thing is...,0
"The document is saved under Project X- sorry, Project Y final version.",1
So if you look at the diagram on page- no wait let me just,0
What I'm attempting to explain is how the uh when the system...,0
They mentioned something about implementing the new uh what was it,0
I thought maybe if we could sort of um you know like when,0
"We need five- no, make that six copies of the report, please.",1
"John's extension is 4455- I mean 4554, if you need to reach him.",1
The documentation shows that we need to- um hold on let me just...,0
"The deadline is next Monday- no, Tuesday at 5 PM sharp!",1
"The client's name is Thompson- sorry, Thomson with no 'p'.",1
Let's schedule it for May- I meant June 15th at 2 PM?,1
"My laptop password is Hunter2- no wait, it's Hunter3 now!",1
"Send these files to latisha- oh sorry, I meant latishab with a 'b'.",1
I'm trying to debug this issue where the network uh when it tries to...,0
"We'll release the update March 11- no, March 12th, 2025.",1
"Great, thanks for your help!",1
"The system maintenance starts at 2- correction, 2:17 AM UTC.",1
The deployment process should probably um let me check the,0
I successfully completed all 347 training modules in the cybersecurity course last week.,1
booking a taxi to Broughton House Gallery but wondering about the traffic and,0
"I've attached Version 3- sorry, Version 4 of the proposal.",1
"Connect to Server A- no, Server B for the backup process?",1
When you initialize the database you need to make sure that um hold on,0
The authentication token seems to be uh where did I put that,0
"The API key expires in May- I mean April 2025, actually.",1
"Please assign this ticket to Team Blue- uh no, Team Red instead.",1
"The bug affects Chrome- wait, Firefox and Chrome browsers.",1
So about that merge conflict in the um you know when git,0
We need to order fifty- make that seventy-five licenses.,1
I was reviewing the logs and noticed that the uh like whenever it,0
The new feature implementation requires us to uh let me think about,0
We should probably consider updating the uh what's that framework called...,0
"The database backup runs at midnight- sorry, 1 AM EST daily.",1
about the TR5892 tickets and uh,0
It seams like the hole,0
"Contact support at extension 4321- no, 4312 for assistance.",1
"It's a loop that's supposed to iterate over a list, but it's not working as...",0
"Yes, please make reservations for 5 people at 16:45 on Monday.",1
When handling the API response we should maybe um if the status,0
"The repository name is project-alpha- correction, project-beta main.",1
Hmm.. how about 12:15?,1
You'll find it in the docs- I mean the wiki section instead!,1
The security patch needs to be applied to all the um where was I,0
Looking at the error message it seems like the uh when it tries to,0
"Set the timeout to thirty- no, sixty seconds minimum.",1
The user permissions should be set to allow uh which level was it...,0
going to Cambridge and then probably taking the train that arrives around,0
"The staging server is dev1- sorry, dev2.example.com.",1
If we modify the configuration to include the um you know that thing where,0
"Change the port to 3000- actually, make it port 3001.",1
"Install version 2.1- hold on, version 2.1.2 specifically?",1
"The config file is in etc- no, var/config directory.",1
Run the script with Python 2- I mean Python 3.8 or higher.,1
The testing environment keeps showing this weird uh whenever we try to,0
oh wow this recipe turned out exactly like my grandmothers used to make,1
hmm yeah I definitely think the blue paint matches better with our furniture,1
ugh fine I guess we can go to that restaurant you suggested for dinner,1
time to say bye but first what about those,0
I need that reference number to confirm my...,0
ah hold on I just remembered I left my keys in the kitchen drawer,1
Is the table actually,0
hey listen I really appreciate you helping me move into my new apartment,1
um so like when I was thinking about maybe going to the,0
oh wait let me just uh try to remember what she said about,0
oh my gosh these shoes are so comfortable I need to buy another pair,1
yes the new security protocols are now fully implemented,1
well actually I learned how to ride a bike when I was twelve years old,1
geez that movie was absolutely incredible from start to finish,1
hey you know that thing where people sometimes,0
ah man I cant believe how quickly this semester went by,1
mm well I was wondering if perhaps we could,0
whoa hang on did you see that just now when the,0
gosh how do I even begin to explain the way that,0
huh thats interesting because yesterday I thought,0
That should be all thank you,1
ah yeah so anyway I was planning to sort of,0
phew finally I managed to finish that huge project before the deadline,1
er well the thing is when you mentioned about the,0
hmm lets see I was supposed to tell you something about,0
i am looking for a expensive place to eat in the centre,1
oh hey speaking of what happened at the party when we were all,0
ah yes I remember now we need to pick up milk eggs and bread from the store,1
mm yeah so I was thinking about maybe trying to figure out how,0
ugh you know that feeling when youre just about to,0
leaving on Thursday and considering the train schedule at around,0
ell like if you consider what happened last time with the,0
do they have free wifi? And I need their ,0
oh boy this new video game is absolutely everything I hoped it would be,1
hmm well based on these test results we should adjust the medication dosage,1
Yes that sounds like something I could try,1
ugh honestly the traffic today made me arrive thirty minutes late to work,1
wow seriously this coffee shop makes the best caramel macchiato ever,1
No but I need a hotel.,1
"No, that is all for now.",1
ah geez I totally forgot to charge my phone before leaving the house,1
"any price range. be a hotel, has free parkin. get me the address too",1
oh my goodness that sunset over the beach was absolutely breathtaking,1
well actually according to the weather forecast it should snow tomorrow,1
well like if you consider what happened last time with the,0
Flight DL302 scheduled for 7:45 AM has been delayed due to,0
gosh darn it I accidentally deleted all my vacation photos from last summer,1
hey wait a minute I thought you were going to tell me about,0
ah shoot what was I supposed to do with the thing that,0
thank you team for reviewing those files that we,0
hmm let me see if I can remember what she said about the,0
I was thinking about the acorn guest house and wondering if it would be available for,0
mm yeah this soup definitely needs more salt and maybe some pepper,1
actually I already submitted the homework assignment yesterday,1
I need to check the British options in my database for,0
"That's perfect, could you book me a table for 4 at 16:15 on Friday?",1
considering the time and thinking about arriving by,0
oh my gosh and then when he started to kind of,0
leaving Cambridge and arriving at Bishops Stortford on Wednesday around hmm,0
"Thank you for your help, that is all I need today.",1
well actually now that you mention the way that sometimes,0
whew finally I managed to finish reading that thousand page novel,1
hey thanks so much for remembering my birthday and sending that card,1
ah shoot I need to reschedule my dentist appointment for next week,1
oh right now I remember where I parked my car in the garage,1
geez how do people even manage to deal with all the,0
man oh man that concert was the best performance I have ever seen,1
No. You're the best. Have a great day. Goodbye,1
uh yeah so anyway about what we discussed regarding the,0
wow hold on I just remembered something about when we,0
oh right before I forget I wanted to ask you if maybe,0
I was wondering if it would be possible to find out more about the availability of rooms at both hotels for a three-night stay starting on,0
mm I wonder if perhaps we should consider how the,0
hey speaking of that one time when everybody was trying to,0
ah man I cant quite put my finger on why the,0
ooh wait until you hear what happened when I tried to,0
er well the thing about what we discussed earlier was,0
gosh its like whenever I think about how people sometimes,0
huh you know what really makes me confused is when the,0
aha now I understand why the printer keeps showing that error message,1
ooh nice these new headphones sound way better than my old ones,1
sheesh that horror movie kept me awake for three nights straight,1
ah well I suppose we should start planning for the holiday party,1
"Oh my goodness, that was the most delicious pasta I've ever tasted!",1
"Um, so about what happened at the meeting yesterday when Jim...",0
Am hospital in town that should have the children's oncology and haematology department.,1
Hi there. Can you help me find a restaurant in the centre?,1
"Oh wait, I just remembered something about the project that we",0
id be staying for 3 nights,1
"Hmm, you know that feeling when you're trying to remember...",0
"Hmm, well considering the circumstances, I think we made the right choice.",1
Aha! Now I finally understand why the code wasn't working properly.,1
"Well actually, if you think about what Sarah said regarding the",0
how are we supposed to handle the situation with the,0
"Ugh, don't even get me started on how the whole situation with...",0
"Hey listen, about what you mentioned earlier about the party that",0
"Ugh, fine - I'll clean my room and do the dishes right now",1
"Wow, can you believe they actually finished the construction ahead of schedule?",1
Thank you for all of the helpful information!,1
"Hey listen, I really appreciate you taking the time to explain this to me.",1
"Geez, I had no idea planning a wedding would be this complicated!",1
"Oh boy, these new running shoes make such a difference in my performance!",1
"Please make sure to submit your expense reports for the London conference by next Friday, and don't forget to include all receipts.",1
I was wondering if there's anything else I should know about that area around Saint Barnabas Road in centre because I've never actually been there before and I'm trying to get a sense of what it's...,0
"Well honestly, I think the blue paint looks better in this lighting.",1
Phew! That presentation went way better than I expected it would!,1
"Ah geez, I was just about to tell you something important about...",0
I also need a hotel room.,1
considering the booking for 5 people starting on Saturday and wondering if,0
"Oh my gosh, so there I was in the grocery store when suddenly",0
"Well, the thing about why I couldn't make it to the event...",0
"I just need their address, star level and whether they have internet please.",1
sunday please ?,1
bye everyone but did anyone see where those,0
"Wow, speaking of what happened at the restaurant when we",0
"Er, you know how sometimes when you're trying to explain...",0
Hey wait - that's exactly what I was trying to explain yesterday!,1
"Oh my word, this spicy curry is making my eyes water so much!",1
the thing about implementing the new security protocol is that well actually hold on let me just check my notes because i think,0
"Mmm, I was thinking about what you said regarding the whole",0
"Yikes, I definitely should have brought an umbrella to work today.",1
"Mmm, this has to be the best chocolate cake I've ever tasted!",1
I was looking for their new sunscreen and these,0
"Oh shoot, I completely forgot to mention that thing about...",0
Gotta get up early tomorra for that dentist 'pointment.,1
"Hey, remember that time when we were all at the beach and",0
"Well actually, the movie wasn't nearly as scary as everyone said.",1
"Hi, I need a moderate price range restaurant in the centre of town.",1
"Gosh darn it, I knew I should have backed up those files earlier!",1
No I just need the phone number. Thanks,1
"Ahh, nothing beats a hot cup of coffee on a cold morning!",1
"Oh right, we need to pick up Sarah from the airport at 3 PM!",1
"Whew, finally finished organizing my entire closet after six hours!",1
I'ma tell you sumthin that'll make ya laugh so hard.,1
"Ah man, if only I had known earlier about the way that...",0
"Whoa hold up, what were you saying about the new",0
"Gosh, it's like every time I try to organize my thoughts about",0
what should I do about the error message thats showing up in,0
Whaddya think about the new restaurant downtown?,1
What other cuisines are available for a moderate price range in the centre of town?,1
Prolly gonna stay home this weekend cause I'm tired.,1
C'mere and lookit what I found in the basement.,1
"Oh right, before I forget to mention something about the",0
"Dunno whatcha mean by that, could ya explain it again?",1
"Huh, that reminds me of that one time when we all...",0
Lemme tell ya bout what happened at work yesterday.,1
Imma hafta go to the store real quick for some groceries.,1
oh before I forget I wanted to ask about the,0
"Maybe Mexico, I've heard Cancun is nice but I'm also thinking",0
"Well, the funny thing about what happened at the party is that",0
considering the 14:01 and then also the 15:01 option but somehow,0
I think it varies sometimes,1
Somethin bout the way they was talkin made me think...,0
I was finna tell ya bout what happened when...,0
Ain't nobody told me nuthin bout the meeting change.,1
No thank you. That is great.,1
Shoulda seen how many people was at the mall today.,1
Kinda wish I woulda studied more for that test.,1
There will be 8 guests.,1
Prolly shoulda mentioned earlier that I was gonna,0
Dunno if ya heard bout what happened at the,0
Jeet yet? I'm starvin and wanna grab some lunch.,1
Betcha didn't expect to see me here today didja?,1
Finna head out to the gym in bout five minutes.,1
"Actually, for 4, please.",1
"I was going to— Actually, I'm not sure what I was...",0
Ya'll wanna come wit us to the movies tonight?,1
Tryna figure out how to work this new phone.,1
Was boutta say somethin important bout the,0
Ya know how sometimes when yer tryna explain,0
Coulda sworn I put my keys right...,0
The ceremony starts at half past two in the afternoon.,1
Mighta been better if we woulda just,0
"Nope, I just need the entrance fee, phone number, and address of your favorite one.",1
Whatchu think bout maybe we could,0
Lemme see if I can member what they was sayin bout,0
Gonna hafta ask my sis if she wants to come too.,1
Was s'posed to tell ya somethin bout the way...,0
S'posed to rain later but I dunno for sure.,1
Ain't sure if I should mention how they,0
Kinda thought maybe we could,0
Imma tell ya what really happened when,0
Dat new coffee place makes the best cappuccino.,1
so for Saturday and um,0
Tryna remember exactly how they said...,0
we need to figure out what happened to those files that were in maybe,0
Jesus Green pool is,0
Bout ta start cookin dinner if ya wanna join.,1
Betcha didn't know that I was gonna,0
signing off for today bye see you tomorrow,1
boutta start my new job next week at the mall,1
shoulda seen how many people showed up at the party,1
Gimme a sec while I try ta remember...,0
Was just bout ta mention somethin bout,0
dunno why they keep changin the schedule like dat,1
Finna explain why I couldn't make it to the...,0
aint nobody told me we was sposed to bring food today,1
dat new burger place downtown is prolly the best one yet,1
lemme telya sumthin bout what happened at school today,1
yknow i wasnt gonna say nuthin but that movie was terrible,1
finna get my homework done fore my mama gets home,1
imma head to the store bout now since its still open,1
Woulda told ya sooner but I was...,0
gimme a minute while i finish cleanin this mess up,1
"Yeah, I need a reservation for 4 people on saturday at 12:30 please",1
mighta been better if we went to the other restaurant,1
tryna figure out how to work this new phone system,1
"She likes music and art, but I'm not sure what to",0
coulda sworn i put my wallet right here on the table,1
for four people and possibly,0
jeet yet cause im starvin after all that exercising,1
I need to check the guesthouse wifi speed and...,0
betcha cant guess what i got ya for ya birthday,1
gonna need some help movin all these boxes upstairs,1
Is there somewhere more central that can be,0
whatchu think bout the way they fixed the ceiling,1
cmere and look at what the cat did to the curtains,1
was boutta tell ya sumthin bout what happened when,0
lemme think bout how they was tryna explain the,0
lemme try first,1
dunno if ya heard what they was sayin bout the,0
Bye everyone! Quick question though - the access tokens that were...,0
finna show ya this thing i found in the,0
woulda helped ya earlier but i had this thing to do,1
sposed to rain all week but the weather keeps changin,1
aint nobody ever told me why they always be,0
prolly shoulda mentioned earlier when they said,0
"Actually, I don't need a booking. I just need to know when it arrives, thanks.",1
Sounds good. I need the postcode please.,1
hafta admit dat new security guard is doin a real good job,1
betcha didnt know that when i tried to,0
gimme a sec while i try to member what the,0
Is there a gastropub in that area instead?,1
Centre has some--,0
considering the Funky Fun House location and wondering if it's near,0
kinda weird how da coffee machine always breaks on mondays,1
I need to find a four stars hotel in the north that has indoor free parking.,1
I would like the phone number and the post code please.,1
mighta been different if they hadda just,0
I'd need to arrive by 15:45 please.,1
whatchu think bout maybe we could go and,0
I'd also like to book a taxi to go between the two. I'd like to leave Byard Art by 21:30.,1
prolly need ta get more printer paper from the supply room,1
Thanks. I also need a train for saturday.,1
Are there any 1-star hotels with free parking?,1
"I need a new phone case, something durable.",1
aint nobody ever seen anythin like what happened at the game,1
somethin tells me we shoulda taken the other route home,1
thinking about that other restaurant and,0
I need to go to Peterborough on Tuesday please,1
no this approach will not work with our existing infrastructure,1
sposed to explain why the whole thing with the,0
imma tell ya the real reason why they was,0
jeet lunch yet cause i was thinkin maybe we,0
tryna member exactly what happened when the,0
dunno why my phone keeps actin up when i try texting,1
coulda been worse if ya think bout how they,0
